SystemId,threshold,maxTPR
stangnes-gw,306322491.666671,0.9797297297297296
rodbergvn-gw2,43365558.666671,0.9864864864864864
narvik-gw4,310402406.444442,0.9864864864864864
tromso-fh-gw,175888206.333343,0.9797297297297296
tromso-gw5,182260707.666671,0.9864864864864864
teknobyen-gw1,802919.888888,0.9864864864864864
narvik-gw3,35923342.888885,0.9864864864864864
hovedbygget-gw,27931636.0,0.9864864864864864
hoytek-gw2,438961558.555557,0.9864864864864864
teknobyen-gw2,13312752.222229,0.9864864864864864
ma2-gw,247129435.222229,0.9797297297297296
bergen-gw3,211366331.555542,0.9797297297297296
narvik-kv-gw,213080931.0,0.9864864864864864
trd-gw,84346216.888916,0.9864864864864864
ifi2-gw5,235301497.888885,0.9864864864864864
oslo-gw1,832823556.0,0.9864864864864864
