SystemId,PPV,total
stangnes-gw,0.22413793103448276,120
rodbergvn-gw2,0.3333333333333333,120
narvik-gw4,0.3484848484848485,120
tromso-fh-gw,0.35384615384615387,120
tromso-gw5,0.5,120
teknobyen-gw1,0.34065934065934067,120
narvik-gw3,0.20512820512820512,120
hovedbygget-gw,0.10714285714285714,120
hoytek-gw2,0.1016949152542373,120
teknobyen-gw2,0.38461538461538464,120
ma2-gw,0.4444444444444444,120
bergen-gw3,0.025,120
narvik-kv-gw,0.35384615384615387,120
trd-gw,0.2564102564102564,120
ifi2-gw5,0.0,120
oslo-gw1,0.15,120
