SystemId,PPV,total
stangnes-gw,0.5789473684210527,240
rodbergvn-gw2,0.6190476190476191,240
narvik-gw4,0.648,240
tromso-fh-gw,0.652542372881356,240
tromso-gw5,0.6049382716049383,240
teknobyen-gw1,0.41975308641975306,240
narvik-gw3,0.6020408163265306,240
hovedbygget-gw,0.6057692307692307,240
hoytek-gw2,0.5974842767295597,240
teknobyen-gw2,0.7207207207207207,240
ma2-gw,0.6161616161616161,240
bergen-gw3,0.524822695035461,240
narvik-kv-gw,0.5294117647058824,240
trd-gw,0.55,240
ifi2-gw5,0.46956521739130436,240
oslo-gw1,0.5405405405405406,240
