SystemId,PPV,total
stangnes-gw,0.6157912124215394,7164
rodbergvn-gw2,0.664327485380117,7163
narvik-gw4,0.597629239380968,7200
tromso-fh-gw,0.5177053824362606,7136
tromso-gw5,0.5854640151515151,7133
teknobyen-gw1,0.492840838348205,7044
narvik-gw3,0.5345895715023232,7163
hovedbygget-gw,0.5781865965834428,7200
hoytek-gw2,0.5056246299585554,7200
teknobyen-gw2,0.5494582313876267,7118
ma2-gw,0.6102080624187256,7200
bergen-gw3,0.21461716937354988,7197
narvik-kv-gw,0.595675355450237,7119
trd-gw,0.5923593618807724,7200
ifi2-gw5,0.644524236983842,7125
oslo-gw1,0.6091463414634146,7200
