SystemId,PPV,total
stangnes-gw,0.5727777777777778,3584
rodbergvn-gw2,0.6103692065985861,3582
narvik-gw4,0.5824665676077266,3600
tromso-fh-gw,0.4037878787878788,3568
tromso-gw5,0.5221445221445221,3565
teknobyen-gw1,0.25941249482829953,3521
narvik-gw3,0.49245283018867925,3582
hovedbygget-gw,0.5648574057037719,3600
hoytek-gw2,0.37519747235387046,3600
teknobyen-gw2,0.40039190071848463,3557
ma2-gw,0.5334595959595959,3600
bergen-gw3,0.18796068796068796,3598
narvik-kv-gw,0.45745992601726265,3564
trd-gw,0.5547024952015355,3600
ifi2-gw5,0.5727025979061652,3566
oslo-gw1,0.5070185289163391,3600
