SystemId,PPV,total
stangnes-gw,0.6334801762114537,7164
rodbergvn-gw2,0.5712881022615536,7163
narvik-gw4,0.521978021978022,7200
tromso-fh-gw,0.5192697768762677,7136
tromso-gw5,0.6835871404399323,7133
teknobyen-gw1,0.8554772234273319,7044
narvik-gw3,0.9113756613756614,7163
hovedbygget-gw,0.8162162162162162,7200
hoytek-gw2,0.599352257572871,7200
teknobyen-gw2,0.9091518605430774,7118
ma2-gw,0.588613406795225,7200
bergen-gw3,0.6250808015513898,7197
narvik-kv-gw,0.5964912280701754,7119
trd-gw,0.5301391035548686,7200
ifi2-gw5,0.6570719602977667,7125
oslo-gw1,0.5652173913043478,7200
