SystemId,PPV,total
stangnes-gw,0.580608793686584,7164
rodbergvn-gw2,0.5611702127659575,7163
tromso-fh-gw,0.6706074194863433,7136
tromso-gw5,0.755939524838013,7133
teknobyen-gw1,0.6999615827890895,7044
narvik-gw3,1.0,7163
hovedbygget-gw,0.6268656716417911,7200
hoytek-gw2,1.0,7200
teknobyen-gw2,0.9499609069585614,7118
ma2-gw,0.4064748201438849,7200
bergen-gw3,0.6968656075568914,7197
narvik-kv-gw,0.533378287255563,7119
trd-gw,0.6692557548368875,7200
ifi2-gw5,0.5734513274336284,7125
oslo-gw1,0.6622134720855013,7200
