Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0,2252,7039,0,0,None,None,None,0.24238510386395437,None,0.24238510386395437
1,2252,7039,0,0,None,None,None,0.24238510386395437,None,0.24238510386395437
2,85,212,2167,6827,0.0666928207140055,0.03774422735346359,0.030117914476488136,0.7439457539554407,0.9622557726465364,0.28619528619528617
3,3,13,2249,7026,0.0026455026455026454,0.0013321492007104796,0.0018468532461997443,0.7565385857281239,0.9986678507992895,0.1875
4,0,3,2252,7036,None,None,0.00042619690296917176,0.7572920030136692,None,None
5,0,2,2252,7037,None,None,0.0002841312686461145,0.7573996340544613,None,None
6,0,1,2252,7038,None,None,0.00014206563432305724,0.7575072650952535,None,None
7,0,1,2252,7038,None,None,0.00014206563432305724,0.7575072650952535,None,None
8,0,1,2252,7038,None,None,0.00014206563432305724,0.7575072650952535,None,None
9,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
10,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
11,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
12,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
13,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
14,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
15,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
16,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
17,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
18,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
19,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
20,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
21,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
22,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
23,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
24,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
25,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
26,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
27,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
28,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
29,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
30,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
31,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
32,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
33,0,0,2252,7039,None,None,None,0.7576148961360456,None,None
