Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0,0,1046,0,0,None,None,None,0.0,None,None
1,0,1046,0,0,None,None,None,0.0,None,None
2,0,110,0,936,None,None,0.10516252390057361,0.8948374760994264,None,None
3,0,54,0,992,None,None,0.05162523900573614,0.9483747609942639,None,None
4,0,35,0,1011,None,None,0.033460803059273424,0.9665391969407265,None,None
5,0,30,0,1016,None,None,0.028680688336520075,0.97131931166348,None,None
6,0,29,0,1017,None,None,0.027724665391969407,0.9722753346080306,None,None
7,0,20,0,1026,None,None,0.019120458891013385,0.9808795411089866,None,None
8,0,13,0,1033,None,None,0.0124282982791587,0.9875717017208413,None,None
9,0,11,0,1035,None,None,0.010516252390057362,0.9894837476099426,None,None
10,0,10,0,1036,None,None,0.009560229445506692,0.9904397705544933,None,None
11,0,10,0,1036,None,None,0.009560229445506692,0.9904397705544933,None,None
12,0,10,0,1036,None,None,0.009560229445506692,0.9904397705544933,None,None
13,0,9,0,1037,None,None,0.008604206500956023,0.9913957934990439,None,None
14,0,9,0,1037,None,None,0.008604206500956023,0.9913957934990439,None,None
15,0,8,0,1038,None,None,0.0076481835564053535,0.9923518164435946,None,None
16,0,7,0,1039,None,None,0.006692160611854685,0.9933078393881453,None,None
17,0,6,0,1040,None,None,0.0057361376673040155,0.994263862332696,None,None
18,0,5,0,1041,None,None,0.004780114722753346,0.9952198852772467,None,None
19,0,5,0,1041,None,None,0.004780114722753346,0.9952198852772467,None,None
20,0,4,0,1042,None,None,0.0038240917782026767,0.9961759082217974,None,None
21,0,3,0,1043,None,None,0.0028680688336520078,0.997131931166348,None,None
22,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
23,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
24,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
25,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
26,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
27,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
28,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
29,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
30,0,2,0,1044,None,None,0.0019120458891013384,0.9980879541108987,None,None
31,0,1,0,1045,None,None,0.0009560229445506692,0.9990439770554493,None,None
32,0,1,0,1045,None,None,0.0009560229445506692,0.9990439770554493,None,None
33,0,1,0,1045,None,None,0.0009560229445506692,0.9990439770554493,None,None
34,0,0,0,1046,None,None,None,1.0,None,None
35,0,0,0,1046,None,None,None,1.0,None,None
36,0,0,0,1046,None,None,None,1.0,None,None
37,0,0,0,1046,None,None,None,1.0,None,None
38,0,0,0,1046,None,None,None,1.0,None,None
39,0,0,0,1046,None,None,None,1.0,None,None
40,0,0,0,1046,None,None,None,1.0,None,None
41,0,0,0,1046,None,None,None,1.0,None,None
42,0,0,0,1046,None,None,None,1.0,None,None
43,0,0,0,1046,None,None,None,1.0,None,None
44,0,0,0,1046,None,None,None,1.0,None,None
45,0,0,0,1046,None,None,None,1.0,None,None
46,0,0,0,1046,None,None,None,1.0,None,None
47,0,0,0,1046,None,None,None,1.0,None,None
48,0,0,0,1046,None,None,None,1.0,None,None
49,0,0,0,1046,None,None,None,1.0,None,None
50,0,0,0,1046,None,None,None,1.0,None,None
51,0,0,0,1046,None,None,None,1.0,None,None
52,0,0,0,1046,None,None,None,1.0,None,None
53,0,0,0,1046,None,None,None,1.0,None,None
54,0,0,0,1046,None,None,None,1.0,None,None
55,0,0,0,1046,None,None,None,1.0,None,None
56,0,0,0,1046,None,None,None,1.0,None,None
57,0,0,0,1046,None,None,None,1.0,None,None
58,0,0,0,1046,None,None,None,1.0,None,None
59,0,0,0,1046,None,None,None,1.0,None,None
60,0,0,0,1046,None,None,None,1.0,None,None
61,0,0,0,1046,None,None,None,1.0,None,None
62,0,0,0,1046,None,None,None,1.0,None,None
63,0,0,0,1046,None,None,None,1.0,None,None
64,0,0,0,1046,None,None,None,1.0,None,None
65,0,0,0,1046,None,None,None,1.0,None,None
66,0,0,0,1046,None,None,None,1.0,None,None
67,0,0,0,1046,None,None,None,1.0,None,None
68,0,0,0,1046,None,None,None,1.0,None,None
69,0,0,0,1046,None,None,None,1.0,None,None
70,0,0,0,1046,None,None,None,1.0,None,None
71,0,0,0,1046,None,None,None,1.0,None,None
72,0,0,0,1046,None,None,None,1.0,None,None
73,0,0,0,1046,None,None,None,1.0,None,None
74,0,0,0,1046,None,None,None,1.0,None,None
75,0,0,0,1046,None,None,None,1.0,None,None
76,0,0,0,1046,None,None,None,1.0,None,None
77,0,0,0,1046,None,None,None,1.0,None,None
78,0,0,0,1046,None,None,None,1.0,None,None
79,0,0,0,1046,None,None,None,1.0,None,None
80,0,0,0,1046,None,None,None,1.0,None,None
81,0,0,0,1046,None,None,None,1.0,None,None
82,0,0,0,1046,None,None,None,1.0,None,None
83,0,0,0,1046,None,None,None,1.0,None,None
84,0,0,0,1046,None,None,None,1.0,None,None
85,0,0,0,1046,None,None,None,1.0,None,None
86,0,0,0,1046,None,None,None,1.0,None,None
87,0,0,0,1046,None,None,None,1.0,None,None
88,0,0,0,1046,None,None,None,1.0,None,None
89,0,0,0,1046,None,None,None,1.0,None,None
90,0,0,0,1046,None,None,None,1.0,None,None
91,0,0,0,1046,None,None,None,1.0,None,None
92,0,0,0,1046,None,None,None,1.0,None,None
93,0,0,0,1046,None,None,None,1.0,None,None
94,0,0,0,1046,None,None,None,1.0,None,None
95,0,0,0,1046,None,None,None,1.0,None,None
96,0,0,0,1046,None,None,None,1.0,None,None
97,0,0,0,1046,None,None,None,1.0,None,None
98,0,0,0,1046,None,None,None,1.0,None,None
99,0,0,0,1046,None,None,None,1.0,None,None
