Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0,0,5405,0,0,None,None,None,0.0,None,None
1,0,5405,0,0,None,None,None,0.0,None,None
2,0,1150,0,4255,None,None,0.2127659574468085,0.7872340425531915,None,None
3,0,1053,0,4352,None,None,0.19481961147086033,0.8051803885291396,None,None
4,0,185,0,5220,None,None,0.034227567067530065,0.96577243293247,None,None
5,0,177,0,5228,None,None,0.03274745605920444,0.9672525439407955,None,None
6,0,168,0,5237,None,None,0.031082331174838114,0.9689176688251618,None,None
7,0,161,0,5244,None,None,0.029787234042553193,0.9702127659574468,None,None
8,0,158,0,5247,None,None,0.029232192414431084,0.9707678075855689,None,None
9,0,153,0,5252,None,None,0.02830712303422757,0.9716928769657724,None,None
10,0,142,0,5263,None,None,0.026271970397779832,0.9737280296022202,None,None
11,0,135,0,5270,None,None,0.02497687326549491,0.9750231267345051,None,None
12,0,131,0,5274,None,None,0.0242368177613321,0.9757631822386679,None,None
13,0,124,0,5281,None,None,0.022941720629047178,0.9770582793709528,None,None
14,0,112,0,5293,None,None,0.02072155411655874,0.9792784458834413,None,None
15,0,105,0,5300,None,None,0.01942645698427382,0.9805735430157262,None,None
16,0,87,0,5318,None,None,0.016096207215541166,0.9839037927844588,None,None
17,0,76,0,5329,None,None,0.014061054579093433,0.9859389454209065,None,None
18,0,68,0,5337,None,None,0.012580943570767807,0.9874190564292322,None,None
19,0,56,0,5349,None,None,0.01036077705827937,0.9896392229417206,None,None
20,0,43,0,5362,None,None,0.007955596669750232,0.9920444033302498,None,None
21,0,30,0,5375,None,None,0.005550416281221091,0.9944495837187789,None,None
22,0,24,0,5381,None,None,0.004440333024976873,0.9955596669750231,None,None
23,0,17,0,5388,None,None,0.0031452358926919517,0.996854764107308,None,None
24,0,7,0,5398,None,None,0.0012950971322849213,0.9987049028677151,None,None
25,0,4,0,5401,None,None,0.0007400555041628122,0.9992599444958372,None,None
26,0,3,0,5402,None,None,0.0005550416281221092,0.9994449583718779,None,None
27,0,1,0,5404,None,None,0.00018501387604070305,0.9998149861239592,None,None
28,0,0,0,5405,None,None,None,1.0,None,None
29,0,0,0,5405,None,None,None,1.0,None,None
30,0,0,0,5405,None,None,None,1.0,None,None
31,0,0,0,5405,None,None,None,1.0,None,None
32,0,0,0,5405,None,None,None,1.0,None,None
33,0,0,0,5405,None,None,None,1.0,None,None
34,0,0,0,5405,None,None,None,1.0,None,None
35,0,0,0,5405,None,None,None,1.0,None,None
36,0,0,0,5405,None,None,None,1.0,None,None
37,0,0,0,5405,None,None,None,1.0,None,None
38,0,0,0,5405,None,None,None,1.0,None,None
39,0,0,0,5405,None,None,None,1.0,None,None
40,0,0,0,5405,None,None,None,1.0,None,None
41,0,0,0,5405,None,None,None,1.0,None,None
42,0,0,0,5405,None,None,None,1.0,None,None
43,0,0,0,5405,None,None,None,1.0,None,None
44,0,0,0,5405,None,None,None,1.0,None,None
45,0,0,0,5405,None,None,None,1.0,None,None
46,0,0,0,5405,None,None,None,1.0,None,None
47,0,0,0,5405,None,None,None,1.0,None,None
48,0,0,0,5405,None,None,None,1.0,None,None
49,0,0,0,5405,None,None,None,1.0,None,None
50,0,0,0,5405,None,None,None,1.0,None,None
51,0,0,0,5405,None,None,None,1.0,None,None
52,0,0,0,5405,None,None,None,1.0,None,None
53,0,0,0,5405,None,None,None,1.0,None,None
54,0,0,0,5405,None,None,None,1.0,None,None
55,0,0,0,5405,None,None,None,1.0,None,None
56,0,0,0,5405,None,None,None,1.0,None,None
57,0,0,0,5405,None,None,None,1.0,None,None
58,0,0,0,5405,None,None,None,1.0,None,None
59,0,0,0,5405,None,None,None,1.0,None,None
60,0,0,0,5405,None,None,None,1.0,None,None
61,0,0,0,5405,None,None,None,1.0,None,None
62,0,0,0,5405,None,None,None,1.0,None,None
63,0,0,0,5405,None,None,None,1.0,None,None
64,0,0,0,5405,None,None,None,1.0,None,None
65,0,0,0,5405,None,None,None,1.0,None,None
66,0,0,0,5405,None,None,None,1.0,None,None
67,0,0,0,5405,None,None,None,1.0,None,None
68,0,0,0,5405,None,None,None,1.0,None,None
69,0,0,0,5405,None,None,None,1.0,None,None
70,0,0,0,5405,None,None,None,1.0,None,None
71,0,0,0,5405,None,None,None,1.0,None,None
72,0,0,0,5405,None,None,None,1.0,None,None
73,0,0,0,5405,None,None,None,1.0,None,None
74,0,0,0,5405,None,None,None,1.0,None,None
75,0,0,0,5405,None,None,None,1.0,None,None
76,0,0,0,5405,None,None,None,1.0,None,None
77,0,0,0,5405,None,None,None,1.0,None,None
78,0,0,0,5405,None,None,None,1.0,None,None
79,0,0,0,5405,None,None,None,1.0,None,None
80,0,0,0,5405,None,None,None,1.0,None,None
81,0,0,0,5405,None,None,None,1.0,None,None
82,0,0,0,5405,None,None,None,1.0,None,None
83,0,0,0,5405,None,None,None,1.0,None,None
84,0,0,0,5405,None,None,None,1.0,None,None
85,0,0,0,5405,None,None,None,1.0,None,None
86,0,0,0,5405,None,None,None,1.0,None,None
87,0,0,0,5405,None,None,None,1.0,None,None
88,0,0,0,5405,None,None,None,1.0,None,None
89,0,0,0,5405,None,None,None,1.0,None,None
90,0,0,0,5405,None,None,None,1.0,None,None
91,0,0,0,5405,None,None,None,1.0,None,None
92,0,0,0,5405,None,None,None,1.0,None,None
93,0,0,0,5405,None,None,None,1.0,None,None
94,0,0,0,5405,None,None,None,1.0,None,None
