Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0,0,1,0,0,None,None,None,0.0,None,None
1,0,1,0,0,None,None,None,0.0,None,None
2,0,0,0,1,None,None,None,1.0,None,None
3,0,0,0,1,None,None,None,1.0,None,None
4,0,0,0,1,None,None,None,1.0,None,None
5,0,0,0,1,None,None,None,1.0,None,None
6,0,0,0,1,None,None,None,1.0,None,None
7,0,0,0,1,None,None,None,1.0,None,None
8,0,0,0,1,None,None,None,1.0,None,None
9,0,0,0,1,None,None,None,1.0,None,None
10,0,0,0,1,None,None,None,1.0,None,None
11,0,0,0,1,None,None,None,1.0,None,None
12,0,0,0,1,None,None,None,1.0,None,None
13,0,0,0,1,None,None,None,1.0,None,None
14,0,0,0,1,None,None,None,1.0,None,None
15,0,0,0,1,None,None,None,1.0,None,None
16,0,0,0,1,None,None,None,1.0,None,None
17,0,0,0,1,None,None,None,1.0,None,None
18,0,0,0,1,None,None,None,1.0,None,None
19,0,0,0,1,None,None,None,1.0,None,None
20,0,0,0,1,None,None,None,1.0,None,None
21,0,0,0,1,None,None,None,1.0,None,None
22,0,0,0,1,None,None,None,1.0,None,None
23,0,0,0,1,None,None,None,1.0,None,None
24,0,0,0,1,None,None,None,1.0,None,None
25,0,0,0,1,None,None,None,1.0,None,None
26,0,0,0,1,None,None,None,1.0,None,None
27,0,0,0,1,None,None,None,1.0,None,None
28,0,0,0,1,None,None,None,1.0,None,None
29,0,0,0,1,None,None,None,1.0,None,None
30,0,0,0,1,None,None,None,1.0,None,None
31,0,0,0,1,None,None,None,1.0,None,None
32,0,0,0,1,None,None,None,1.0,None,None
33,0,0,0,1,None,None,None,1.0,None,None
34,0,0,0,1,None,None,None,1.0,None,None
35,0,0,0,1,None,None,None,1.0,None,None
36,0,0,0,1,None,None,None,1.0,None,None
37,0,0,0,1,None,None,None,1.0,None,None
38,0,0,0,1,None,None,None,1.0,None,None
39,0,0,0,1,None,None,None,1.0,None,None
40,0,0,0,1,None,None,None,1.0,None,None
41,0,0,0,1,None,None,None,1.0,None,None
42,0,0,0,1,None,None,None,1.0,None,None
43,0,0,0,1,None,None,None,1.0,None,None
44,0,0,0,1,None,None,None,1.0,None,None
45,0,0,0,1,None,None,None,1.0,None,None
46,0,0,0,1,None,None,None,1.0,None,None
47,0,0,0,1,None,None,None,1.0,None,None
48,0,0,0,1,None,None,None,1.0,None,None
49,0,0,0,1,None,None,None,1.0,None,None
50,0,0,0,1,None,None,None,1.0,None,None
51,0,0,0,1,None,None,None,1.0,None,None
52,0,0,0,1,None,None,None,1.0,None,None
53,0,0,0,1,None,None,None,1.0,None,None
54,0,0,0,1,None,None,None,1.0,None,None
55,0,0,0,1,None,None,None,1.0,None,None
56,0,0,0,1,None,None,None,1.0,None,None
57,0,0,0,1,None,None,None,1.0,None,None
58,0,0,0,1,None,None,None,1.0,None,None
59,0,0,0,1,None,None,None,1.0,None,None
60,0,0,0,1,None,None,None,1.0,None,None
61,0,0,0,1,None,None,None,1.0,None,None
62,0,0,0,1,None,None,None,1.0,None,None
63,0,0,0,1,None,None,None,1.0,None,None
64,0,0,0,1,None,None,None,1.0,None,None
65,0,0,0,1,None,None,None,1.0,None,None
66,0,0,0,1,None,None,None,1.0,None,None
67,0,0,0,1,None,None,None,1.0,None,None
68,0,0,0,1,None,None,None,1.0,None,None
69,0,0,0,1,None,None,None,1.0,None,None
70,0,0,0,1,None,None,None,1.0,None,None
71,0,0,0,1,None,None,None,1.0,None,None
72,0,0,0,1,None,None,None,1.0,None,None
73,0,0,0,1,None,None,None,1.0,None,None
74,0,0,0,1,None,None,None,1.0,None,None
75,0,0,0,1,None,None,None,1.0,None,None
76,0,0,0,1,None,None,None,1.0,None,None
77,0,0,0,1,None,None,None,1.0,None,None
78,0,0,0,1,None,None,None,1.0,None,None
79,0,0,0,1,None,None,None,1.0,None,None
80,0,0,0,1,None,None,None,1.0,None,None
81,0,0,0,1,None,None,None,1.0,None,None
82,0,0,0,1,None,None,None,1.0,None,None
83,0,0,0,1,None,None,None,1.0,None,None
84,0,0,0,1,None,None,None,1.0,None,None
85,0,0,0,1,None,None,None,1.0,None,None
86,0,0,0,1,None,None,None,1.0,None,None
87,0,0,0,1,None,None,None,1.0,None,None
88,0,0,0,1,None,None,None,1.0,None,None
89,0,0,0,1,None,None,None,1.0,None,None
90,0,0,0,1,None,None,None,1.0,None,None
91,0,0,0,1,None,None,None,1.0,None,None
92,0,0,0,1,None,None,None,1.0,None,None
93,0,0,0,1,None,None,None,1.0,None,None
94,0,0,0,1,None,None,None,1.0,None,None
95,0,0,0,1,None,None,None,1.0,None,None
96,0,0,0,1,None,None,None,1.0,None,None
97,0,0,0,1,None,None,None,1.0,None,None
98,0,0,0,1,None,None,None,1.0,None,None
99,0,0,0,1,None,None,None,1.0,None,None
