SystemId,threshold,maxF1,PPV,total
stangnes-gw,3.445763,0.1665601023017902,0.1032910388580491,21498
rodbergvn-gw2,6.034142,0.156855369569306,0.1014105058365758,21490
tromso-fh-gw,6.73775,0.1668161434977578,0.1063100137174211,21409
tromso-gw5,6.263031,0.1350376925598164,0.0777162977867203,21401
teknobyen-gw1,89.640636,0.5249537892791127,0.9726027397260274,21133
narvik-gw3,1.037583,0.1062422853112325,0.0561013082545742,21487
hovedbygget-gw,5.937252,0.1066066066066066,0.0563176558417319,21600
teknobyen-gw2,11.07088,0.1496980155306298,0.1009307737056428,21364
ma2-gw,1.755415,0.106259863229879,0.0561111111111111,21600
bergen-gw3,6.749769,0.1709767044240222,0.0982077093051804,21593
narvik-kv-gw,9.656533,0.1331662788616431,0.0847766636280765,21376
trd-gw,16.334775,0.2402098557241896,0.1553939393939394,21600
ifi2-gw5,2.21934,0.2467725918570009,0.1754943502824859,21361
oslo-gw1,19.454866,0.206163655685441,0.2895522388059701,21600
