SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.053085,0.995049504950495,0.0561347979892012,21498
rodbergvn-gw2,0.079405,1.0,0.056096084912248,21490
tromso-fh-gw,1.09931,1.0,0.0563347248932876,21409
tromso-gw5,0.192361,1.0,0.0561319872873434,21401
teknobyen-gw1,-0.014448,1.0,0.0561265570975228,21133
narvik-gw3,0.168507,1.0,0.0563637214088591,21487
hovedbygget-gw,0.470621,1.0,0.0561241028015744,21600
teknobyen-gw2,2.806155,1.0,0.0561992775718909,21364
ma2-gw,0.333033,1.0,0.0561111111111111,21600
bergen-gw3,-0.035053,1.0,0.0561891515994436,21593
narvik-kv-gw,0.042578,1.0,0.0561224489795918,21376
trd-gw,1.884477,1.0,0.056116307065469,21600
ifi2-gw5,-0.073312,1.0,0.0560817781112257,21361
oslo-gw1,2.632758,1.0,0.0561215039822189,21600
