SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.499067,0.995049504950495,0.0561374109761206,21498
rodbergvn-gw2,0.976176,1.0,0.0560986964618249,21490
tromso-fh-gw,3.205965,1.0,0.0584570455098564,21409
tromso-gw5,0.994224,1.0,0.0561477325853202,21401
teknobyen-gw1,-0.117026,1.0,0.0560999857974719,21133
narvik-gw3,0.984288,1.0,0.057220190892255,21487
hovedbygget-gw,2.472991,1.0,0.056139700773542,21600
teknobyen-gw2,4.336179,1.0,0.0561755603488699,21364
ma2-gw,1.944177,1.0,0.0561241028015744,21600
bergen-gw3,-0.10062,1.0,0.0561709227418084,21593
narvik-kv-gw,0.147239,1.0,0.0561250760660955,21376
trd-gw,4.722242,1.0,0.0561501042390549,21600
ifi2-gw5,-0.18843,1.0,0.0560082420155474,21361
oslo-gw1,3.888944,1.0,0.0561111111111111,21600
