SystemId,threshold,maxF1,PPV,total
stangnes-gw,-0.02971,0.4324139112557821,0.2781573727132466,5373
rodbergvn-gw2,-0.025486,0.3911539040168497,0.2431269870955676,5372
tromso-fh-gw,-0.047261,0.3907074973600845,0.2427821522309711,5352
tromso-gw5,-0.006479,0.4187677408582401,0.2671495526203664,5350
teknobyen-gw1,-0.000507,0.4109102646868948,0.2585821653463335,5274
narvik-gw3,-0.00115,0.4013765055529485,0.2519638648860958,5372
hovedbygget-gw,0.005596,0.4015319492037895,0.2725779967159277,5400
teknobyen-gw2,-0.000159,0.4073423782920989,0.2565339766787294,5338
ma2-gw,-0.003385,0.4104254985084,0.2581983405768471,5400
bergen-gw3,0.007205,0.4434628975265017,0.3604595500239348,5399
narvik-kv-gw,0.666964,0.3903072263089571,0.2709522379092821,5346
trd-gw,-0.000148,0.3926638604930847,0.2443405051449953,5400
ifi2-gw5,-0.010977,0.4135074864606562,0.2606425702811245,5346
oslo-gw1,-2.9e-05,0.392276113729664,0.2447817836812144,5400
