SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.173796,0.3907940862673373,0.2436799087625926,5373
rodbergvn-gw2,0.166077,0.3899805009749512,0.2422209800633501,5372
narvik-gw4,-0.114281,0.4070917149676099,0.2618995393726694,5400
tromso-fh-gw,1.326068,0.4023113037197544,0.262550082488805,5352
tromso-gw5,0.37669,0.3929230769230769,0.2453410182516811,5350
teknobyen-gw1,0.340488,0.4715172024816695,0.836,5274
narvik-gw3,0.418245,0.4108606557377049,0.26410537870472,5372
hovedbygget-gw,2.769782,0.3929436181252161,0.2538547486033519,5400
hoytek-gw2,1.200997,0.4679935449166218,0.3608461219411032,5400
teknobyen-gw2,5.660059,0.4364879453040662,0.2842746660417155,5338
ma2-gw,0.428649,0.3901492537313433,0.2423511959948081,5400
bergen-gw3,12.289307,0.4244931733553992,0.2908987808335696,5399
narvik-kv-gw,2.158545,0.4113641699929561,0.2953472690492245,5346
trd-gw,4.964957,0.4466417910447761,0.2953367875647668,5400
ifi2-gw5,1.105895,0.4206391715765042,0.2737624912851499,5346
oslo-gw1,13.900125,0.4772004241781548,0.3301056338028169,5400
