SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.838904,0.390603824725192,0.2428384197715783,5373
rodbergvn-gw2,0.926375,0.3900975243810953,0.2423112767940354,5372
narvik-gw4,-0.237011,0.3950502706883217,0.2475765800697945,5400
tromso-fh-gw,2.766223,0.446606334841629,0.31584,5352
tromso-gw5,0.005273,0.3950238058669943,0.2465490797546012,5350
teknobyen-gw1,2.783903,0.4911242603550296,0.9952038369304556,5274
narvik-gw3,1.862852,0.4053227836720014,0.2645539906103286,5372
hovedbygget-gw,0.042233,0.4156441717791411,0.2773087746226656,5400
hoytek-gw2,0.004181,0.4847734587769249,0.3583455344070278,5400
teknobyen-gw2,6.293142,0.4513839602555003,0.2927502876869965,5338
ma2-gw,1.624978,0.3903240256831417,0.2424860853432282,5400
bergen-gw3,11.74238,0.4265791632485644,0.2913981507425049,5399
narvik-kv-gw,0.032073,0.4690747154873825,0.3448526736995271,5346
trd-gw,10.768971,0.4854831032841504,0.3523316062176165,5400
ifi2-gw5,0.018353,0.4313292884721456,0.2832649118570393,5346
oslo-gw1,0.424489,0.4785671161199436,0.3246859639541234,5400
