SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.835956,0.390603824725192,0.2428384197715783,5373
rodbergvn-gw2,0.920956,0.3900975243810953,0.2423112767940354,5372
narvik-gw4,-0.175573,0.3953039562560309,0.2502545306454897,5400
tromso-fh-gw,3.191043,0.446606334841629,0.31584,5352
tromso-gw5,0.005422,0.3951377134943837,0.2467332820906994,5350
teknobyen-gw1,3.032434,0.4902309058614564,0.9951923076923076,5274
narvik-gw3,1.876833,0.405249910104279,0.2644919033090824,5372
hovedbygget-gw,0.042437,0.4154761904761905,0.2804714706670238,5400
hoytek-gw2,2.464282,0.4681724845995893,0.3522595596755504,5400
teknobyen-gw2,6.324413,0.4513839602555003,0.2927502876869965,5338
ma2-gw,0.016133,0.3902074936557695,0.2423961424332344,5400
bergen-gw3,4.07915,0.4229885057471264,0.2750689972401104,5399
narvik-kv-gw,5.10158,0.4639080459770115,0.3300621524370297,5346
trd-gw,0.182078,0.4876456876456876,0.3506537043245055,5400
ifi2-gw5,0.815721,0.3948565156029481,0.2478834416223666,5346
oslo-gw1,0.430004,0.4790268456375839,0.3299624386015602,5400
