SystemId,threshold,maxF1,PPV,total
stangnes-gw,-0.165384,0.401750364659304,0.2755072877965133,5373
rodbergvn-gw2,-0.657702,0.3848942598187311,0.2394736842105263,5372
tromso-fh-gw,-0.424869,0.3886775224471161,0.2420394238059135,5352
tromso-gw5,-0.197563,0.4023931623931624,0.258397365532382,5350
teknobyen-gw1,0.966044,0.265179677819083,0.218925831202046,5274
narvik-gw3,-0.19964,0.404975812024879,0.261199019389347,5372
hovedbygget-gw,2.467271,0.3963488843813387,0.2696660226331769,5400
teknobyen-gw2,-0.123387,0.4079885877318117,0.2564766839378238,5338
ma2-gw,0.291767,0.3984230055658627,0.2858569051580699,5400
bergen-gw3,9.506881,0.4469143024276104,0.3617424242424242,5399
narvik-kv-gw,6.015404,0.4143803216650898,0.3498402555910543,5346
trd-gw,-0.503729,0.3918146253385495,0.2438658924892301,5400
ifi2-gw5,-1.001191,0.396435829294982,0.2486762110217689,5346
oslo-gw1,0.446695,0.395749358739465,0.2601782702963141,5400
