SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.031724,1.0,0.2708897687018128,5373
rodbergvn-gw2,-0.025486,1.0,0.2431269870955676,5372
tromso-fh-gw,-0.047261,1.0,0.2427821522309711,5352
tromso-gw5,-0.006917,1.0,0.2580195258019526,5350
teknobyen-gw1,-0.000507,1.0,0.2585821653463335,5274
narvik-gw3,-0.001331,1.0,0.2506260836062415,5372
hovedbygget-gw,-0.000766,1.0,0.242801411852127,5400
teknobyen-gw2,-0.000659,1.0,0.2421230307576894,5338
ma2-gw,-0.003385,1.0,0.2581983405768471,5400
bergen-gw3,-0.000258,1.0,0.248195974173946,5399
narvik-kv-gw,-0.041417,1.0,0.2424071991001125,5346
trd-gw,-0.000191,1.0,0.2440709617180205,5400
ifi2-gw5,-0.010977,1.0,0.2606425702811245,5346
oslo-gw1,-0.000267,1.0,0.2421267135976287,5400
