SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.79091,1.0,0.2422661200149087,5373
rodbergvn-gw2,0.920956,1.0,0.2423112767940354,5372
narvik-gw4,-0.6256,1.0,0.2420818670124097,5400
tromso-fh-gw,2.328962,1.0,0.2422371866816311,5352
tromso-gw5,0.004889,1.0,0.2431924882629108,5350
teknobyen-gw1,-0.030674,1.0,0.2414185473165181,5274
narvik-gw3,1.051691,1.0,0.242633345766505,5372
hovedbygget-gw,0.011638,1.0,0.242037037037037,5400
hoytek-gw2,-1.013218,1.0,0.2420818670124097,5400
teknobyen-gw2,2.149305,1.0,0.2420776298518657,5338
ma2-gw,0.016133,1.0,0.2423961424332344,5400
bergen-gw3,0.075127,1.0,0.2427563150074294,5399
narvik-kv-gw,0.44586,1.0,0.2419535928143712,5346
trd-gw,0.102348,1.0,0.2431175595238095,5400
ifi2-gw5,-0.104241,1.0,0.2429801572444777,5346
oslo-gw1,0.195031,1.0,0.242037037037037,5400
