SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.724561,1.0,0.2441773102930127,5373
rodbergvn-gw2,-0.657702,0.98,0.2394736842105263,5372
tromso-fh-gw,-0.424869,0.986100386100386,0.2420394238059135,5352
tromso-gw5,-0.510539,1.0,0.2426911544227886,5350
teknobyen-gw1,-0.999939,0.5860172820109977,0.1662580788945843,5274
narvik-gw3,-0.436544,1.0,0.250722682597803,5372
hovedbygget-gw,-0.434994,1.0,0.2420818670124097,5400
teknobyen-gw2,-0.336357,1.0,0.2451110689196886,5338
ma2-gw,-1.026854,1.0,0.2423511959948081,5400
bergen-gw3,-0.327979,1.0,0.2469765684051398,5399
narvik-kv-gw,-0.344593,0.9976798143851509,0.2414373947220662,5346
trd-gw,-0.615635,1.0,0.2436160298229263,5400
ifi2-gw5,-1.003117,0.9838212634822804,0.2398122065727699,5346
oslo-gw1,-0.844477,1.0,0.2423511959948081,5400
