SystemId,threshold,maxTPR,PPV,total
stangnes-gw,2.308089,1.0,0.2420856610800744,5373
rodbergvn-gw2,2.779682,1.0,0.2424468481909735,5372
narvik-gw4,-2.996611,1.0,0.2421267135976287,5400
tromso-fh-gw,2.848854,1.0,0.2430555555555555,5352
tromso-gw5,3.489898,1.0,0.2487036681390436,5350
teknobyen-gw1,-0.103516,1.0,0.2415559772296015,5274
narvik-gw3,2.383665,1.0,0.2440442693678484,5372
hovedbygget-gw,5.517289,1.0,0.2421267135976287,5400
hoytek-gw2,-5.009361,1.0,0.2420818670124097,5400
teknobyen-gw2,4.039041,1.0,0.2420776298518657,5338
ma2-gw,2.361457,1.0,0.2424411055462808,5400
bergen-gw3,1.619937,1.0,0.2423062662217278,5399
narvik-kv-gw,1.448093,1.0,0.2421348314606741,5346
trd-gw,9.717817,1.0,0.2422613531047266,5400
ifi2-gw5,-0.199534,1.0,0.2428437792329279,5346
oslo-gw1,12.944987,1.0,0.242171576801927,5400
