SystemId,threshold,maxF1,PPV,total
stangnes-gw,-0.07161,0.7373986605569264,0.5841128018986458,7164
rodbergvn-gw2,0.208624,0.7373523708796051,0.5840547333147166,7163
narvik-gw4,-0.273839,0.7371744277821626,0.5838310876510626,7200
tromso-fh-gw,0.750717,0.7371216144450345,0.5838474481211441,7136
tromso-gw5,0.217398,0.73828125,0.5857162980701507,7133
teknobyen-gw1,0.431187,0.806892623184278,0.9722031571722718,7044
narvik-gw3,0.156203,0.7403760071620412,0.5919828203292771,7163
hovedbygget-gw,0.638524,0.7374144886861954,0.5840511253125868,7200
hoytek-gw2,-0.358907,0.7372390808630065,0.5839121978327313,7200
teknobyen-gw2,0.422056,0.7373835920177384,0.5840944218069412,7118
ma2-gw,0.321046,0.7374791684939918,0.5841322773377796,7200
bergen-gw3,-0.038112,0.7373870316750022,0.5840166782487839,7197
narvik-kv-gw,0.012781,0.7371317003904864,0.5837784649985943,7119
trd-gw,3.342216,0.7372851631006664,0.5838888888888889,7200
ifi2-gw5,0.261704,0.7377650532343205,0.5875730369103606,7125
oslo-gw1,1.488323,0.7372851631006664,0.5838888888888889,7200
