SystemId,threshold,maxF1,PPV,total
stangnes-gw,2.883965,0.7387993624933593,0.586861724574483,7164
rodbergvn-gw2,3.463965,0.7388072907450008,0.5865411632481033,7163
narvik-gw4,-1.482269,0.7372694378254346,0.5860811000420935,7200
tromso-fh-gw,2.273493,0.7376452843580871,0.5850809289232934,7136
tromso-gw5,0.969014,0.7374856029059981,0.5843864083122718,7133
teknobyen-gw1,2.156294,0.7885254988913526,0.9153796653796654,7044
narvik-gw3,0.88761,0.7401938984256871,0.5895437801076793,7163
hovedbygget-gw,0.796363,0.7373498202227484,0.5839699958327546,7200
hoytek-gw2,-1.294215,0.7371744277821626,0.5838310876510626,7200
teknobyen-gw2,6.52654,0.7382020455768886,0.588723526044648,7118
ma2-gw,4.370129,0.7382944632366032,0.589900426742532,7200
bergen-gw3,0.695937,0.7372576541801913,0.5838543837710157,7197
narvik-kv-gw,5.17778,0.7399319849650976,0.5888888888888889,7119
trd-gw,4.341452,0.7372851631006664,0.5838888888888889,7200
ifi2-gw5,-0.246464,0.7373925374457148,0.5840235855678787,7125
oslo-gw1,7.838124,0.7372851631006664,0.5838888888888889,7200
