SystemId,threshold,maxF1,PPV,total
stangnes-gw,-0.915247,0.7373986605569264,0.5841128018986458,7164
rodbergvn-gw2,3.212754,0.7373523708796051,0.5840547333147166,7163
narvik-gw4,-2.702743,0.7374242823281538,0.584388479198553,7200
tromso-fh-gw,2.510658,0.7372333834852642,0.5839057899901865,7136
tromso-gw5,1.598789,0.737363901920864,0.5839876612450925,7133
teknobyen-gw1,12.926074,0.8150280696703613,0.9971821063754844,7044
narvik-gw3,1.795095,0.7375396677244727,0.6051462704855262,7163
hovedbygget-gw,1.577811,0.7372851631006664,0.5838888888888889,7200
hoytek-gw2,-0.567051,0.7375998595382319,0.5845276193126479,7200
teknobyen-gw2,12.492605,0.7548108391150674,0.8282102844010342,7118
ma2-gw,5.657634,0.7404393816110659,0.5971999416654513,7200
bergen-gw3,0.987666,0.7372576541801913,0.5838543837710157,7197
narvik-kv-gw,6.097705,0.7393441158073452,0.5878925678556203,7119
trd-gw,16.732549,0.7429042299945064,0.6038999702292349,7200
ifi2-gw5,-0.152793,0.7374113475177305,0.5841292134831461,7125
oslo-gw1,8.956309,0.7372851631006664,0.5838888888888889,7200
