SystemId,threshold,maxF1,PPV,total
stangnes-gw,2.740788,0.7389842505751194,0.5867640859912885,7164
rodbergvn-gw2,4.015872,0.7390688617454416,0.5868709586730391,7163
narvik-gw4,-2.375152,0.7373498202227484,0.5839699958327546,7200
tromso-fh-gw,2.326102,0.7387019444197815,0.5861631675355784,7136
tromso-gw5,0.936242,0.737466784765279,0.584280701754386,7133
teknobyen-gw1,6.590153,0.7991379310344827,0.9751051893408136,7044
narvik-gw3,1.021714,0.7432504916860361,0.5937723182402513,7163
hovedbygget-gw,3.450445,0.7373498202227484,0.5839699958327546,7200
hoytek-gw2,3.574098,0.7385190459238163,0.5900170648464164,7200
teknobyen-gw2,0.836483,0.7373835920177384,0.5840944218069412,7118
ma2-gw,4.821995,0.7382502452510479,0.5905264659723213,7200
bergen-gw3,-0.102436,0.7374517374517374,0.5840978593272171,7197
narvik-kv-gw,5.229339,0.7392662679639382,0.5874592140729181,7119
trd-gw,9.680025,0.7372851631006664,0.5838888888888889,7200
ifi2-gw5,-0.274919,0.7373271889400922,0.583941605839416,7125
oslo-gw1,3.184071,0.7372851631006664,0.5838888888888889,7200
