SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.071613,0.9997610513739544,0.5841128018986458,7164
rodbergvn-gw2,0.211248,0.9997609942638624,0.5840547333147166,7163
narvik-gw4,-0.28516,0.9997621313035204,0.5839121978327313,7200
tromso-fh-gw,0.703034,0.999759961593855,0.5837421163279608,7136
tromso-gw5,0.186236,1.0,0.58464345873105,7133
teknobyen-gw1,-0.016433,1.0,0.5832741729376686,7044
narvik-gw3,-0.077043,0.9997610513739544,0.5841943591175649,7163
hovedbygget-gw,0.212292,1.0,0.5839699958327546,7200
hoytek-gw2,-0.454032,0.9997621313035204,0.5839121978327313,7200
teknobyen-gw2,0.353155,0.9997594997594996,0.5840944218069412,7118
ma2-gw,0.2088,1.0,0.5841322773377796,7200
bergen-gw3,0.262203,1.0,0.5838543837710157,7197
narvik-kv-gw,0.297776,0.9997592681752528,0.5835323872418153,7119
trd-gw,0.704658,1.0,0.5838888888888889,7200
ifi2-gw5,-0.08349,1.0,0.5840235855678787,7125
oslo-gw1,3.621272,1.0,0.5838888888888889,7200
