SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.249112,0.9997610513739544,0.5841128018986458,7164
rodbergvn-gw2,0.800085,0.9997609942638624,0.5840547333147166,7163
narvik-gw4,-0.716185,0.9997621313035204,0.5838310876510626,7200
tromso-fh-gw,1.496553,0.999759961593855,0.5839876612450925,7136
tromso-gw5,0.00289,1.0,0.5840695554620671,7133
teknobyen-gw1,-0.003873,1.0,0.5834398522937083,7044
narvik-gw3,-0.252417,0.9997610513739544,0.5841943591175649,7163
hovedbygget-gw,0.004221,1.0,0.5838888888888889,7200
hoytek-gw2,-0.001173,0.9997621313035204,0.5838310876510626,7200
teknobyen-gw2,0.423345,0.9997594997594996,0.5840944218069412,7118
ma2-gw,0.747338,1.0,0.5842946490618485,7200
bergen-gw3,0.355436,1.0,0.5838543837710157,7197
narvik-kv-gw,0.003562,0.9997592681752528,0.5835323872418153,7119
trd-gw,1.484577,1.0,0.5838888888888889,7200
ifi2-gw5,-0.001331,1.0,0.583941605839416,7125
oslo-gw1,0.121793,1.0,0.5838888888888889,7200
