SystemId,threshold,maxTPR
stangnes-gw,-0.07161,0.9997610513739544
rodbergvn-gw2,0.208624,0.9997609942638624
narvik-gw4,-0.273839,0.9997621313035204
tromso-fh-gw,0.724132,0.999759961593855
tromso-gw5,0.187025,1.0
teknobyen-gw1,-0.015581,1.0
narvik-gw3,-0.076539,0.9997610513739544
hovedbygget-gw,0.638524,1.0
hoytek-gw2,-0.358907,0.9997621313035204
teknobyen-gw2,0.422056,0.9997594997594996
ma2-gw,0.321046,1.0
bergen-gw3,-0.038112,1.0
narvik-kv-gw,0.012781,0.9997592681752528
trd-gw,3.342216,1.0
ifi2-gw5,-0.074401,1.0
oslo-gw1,1.488323,1.0
