SystemId,threshold,maxTPR
stangnes-gw,-0.248567,0.9997610513739544
rodbergvn-gw2,0.795577,0.9997609942638624
narvik-gw4,-0.572287,0.9997621313035204
tromso-fh-gw,1.726202,0.999759961593855
tromso-gw5,0.003042,1.0
teknobyen-gw1,-0.015682,1.0
narvik-gw3,-0.254598,0.9997610513739544
hovedbygget-gw,0.009824,1.0
hoytek-gw2,-0.134875,0.9997621313035204
teknobyen-gw2,0.392827,0.9997594997594996
ma2-gw,0.0073,1.0
bergen-gw3,-0.015385,1.0
narvik-kv-gw,0.329968,0.9997592681752528
trd-gw,0.056064,1.0
ifi2-gw5,-0.077314,1.0
oslo-gw1,0.078147,1.0
