SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.782625,0.9997610513739544,0.5841128018986458,7164
rodbergvn-gw2,3.278043,0.9997609942638624,0.585444366689993,7163
narvik-gw4,-2.472364,0.9997621313035204,0.5839121978327313,7200
tromso-fh-gw,2.03158,0.999759961593855,0.5838239416876927,7136
tromso-gw5,0.861066,1.0,0.5840695554620671,7133
teknobyen-gw1,-0.086788,1.0,0.5833570008520307,7044
narvik-gw3,-0.453882,0.9997610513739544,0.5841943591175649,7163
hovedbygget-gw,0.796363,1.0,0.5839699958327546,7200
hoytek-gw2,-1.294215,0.9997621313035204,0.5838310876510626,7200
teknobyen-gw2,0.826235,0.9997594997594996,0.5840944218069412,7118
ma2-gw,0.919254,1.0,0.5841322773377796,7200
bergen-gw3,0.695937,1.0,0.5838543837710157,7197
narvik-kv-gw,-0.391449,1.0,0.5835908963191908,7119
trd-gw,4.341452,1.0,0.5838888888888889,7200
ifi2-gw5,-0.246464,1.0,0.5840235855678787,7125
oslo-gw1,7.838124,1.0,0.5838888888888889,7200
