SystemId,threshold,maxTPR
stangnes-gw,-0.915247,0.9997610513739544
rodbergvn-gw2,3.212754,0.9997609942638624SystemId,threshold,maxTPR
stangnes-gw,-0.915247,0.9997610513739544
rodbergvn-gw2,3.212754,0.9997609942638624
narvik-gw4,-3.965831,1.0
tromso-fh-gw,2.510658,0.999759961593855
tromso-gw5,1.598789,1.0
teknobyen-gw1,-0.056855,1.0
narvik-gw3,-0.521386,0.9997610513739544
hovedbygget-gw,1.577811,1.0
hoytek-gw2,-0.847427,0.9997621313035204
teknobyen-gw2,0.967204,0.9997594997594996
ma2-gw,1.295716,1.0
bergen-gw3,0.987666,1.0
narvik-kv-gw,-0.38637,1.0
trd-gw,4.933137,1.0
ifi2-gw5,-0.246082,1.0
oslo-gw1,8.956309,1.0
