SystemId,threshold,maxTPR
stangnes-gw,-0.75702,0.9997610513739544
rodbergvn-gw2,3.730696,0.9997609942638624
narvik-gw4,-2.375152,1.0
tromso-fh-gw,2.170244,0.999759961593855
tromso-gw5,0.856542,1.0
teknobyen-gw1,-0.22104,0.9997565725413826
narvik-gw3,-0.475483,0.9997610513739544
hovedbygget-gw,3.450445,1.0
hoytek-gw2,-1.435973,0.9997621313035204
teknobyen-gw2,0.836483,0.9997594997594996
ma2-gw,2.025468,1.0
bergen-gw3,-0.102436,1.0
narvik-kv-gw,-0.406446,1.0
trd-gw,9.680025,1.0
ifi2-gw5,-0.274919,1.0
oslo-gw1,3.184071,1.0
