SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.851186,0.9997610513739544,0.5841128018986458,7164
rodbergvn-gw2,3.832134,0.9997609942638624,0.5840547333147166,7163
narvik-gw4,-2.73828,1.0,0.5840511253125868,7200
tromso-fh-gw,2.79543,0.999759961593855,0.5842334128208725,7136
tromso-gw5,1.587458,1.0,0.5840695554620671,7133
teknobyen-gw1,-0.111997,1.0,0.5832741729376686,7044
narvik-gw3,-0.568171,0.9997610513739544,0.5841943591175649,7163
hovedbygget-gw,3.929811,1.0,0.5838888888888889,7200
hoytek-gw2,-1.522161,0.9997621313035204,0.5838310876510626,7200
teknobyen-gw2,0.803578,0.9997594997594996,0.5840944218069412,7118
ma2-gw,1.949206,1.0,0.5840511253125868,7200
bergen-gw3,-0.045263,1.0,0.5839355197331851,7197
narvik-kv-gw,-0.403664,1.0,0.5835908963191908,7119
trd-gw,7.430218,1.0,0.5838888888888889,7200
ifi2-gw5,-0.271196,1.0,0.583941605839416,7125
oslo-gw1,5.595192,1.0,0.5838888888888889,7200
