Time, Change, Value, Mean of the last 10 minutes
2011-01-03 03:04:00,114.55555555555554,579,464.44444444444446
2011-01-03 07:21:00,109.55555555555554,598,488.44444444444446
2011-01-03 07:43:00,104.77777777777777,595,490.22222222222223
2011-01-03 07:45:00,111.44444444444446,616,504.55555555555554
2011-01-03 07:46:00,130.77777777777783,643,512.2222222222222
2011-01-03 07:52:00,174.55555555555554,725,550.4444444444445
2011-01-03 08:31:00,151.33333333333337,665,513.6666666666666
2011-01-03 09:11:00,265.2222222222222,796,530.7777777777778
2011-01-03 09:13:00,283.0,844,561.0
2011-01-03 09:14:00,331.1111111111111,894,562.8888888888889
2011-01-03 09:16:00,105.44444444444446,529,634.4444444444445
2011-01-03 09:18:00,122.44444444444446,513,635.4444444444445
2011-01-03 09:19:00,129.22222222222217,511,640.2222222222222
2011-01-03 09:20:00,161.77777777777783,478,639.7777777777778
2011-01-03 09:21:00,158.8888888888889,480,638.8888888888889
2011-01-03 09:22:00,165.55555555555554,438,603.5555555555555
2011-01-03 11:49:00,121.66666666666669,630,508.3333333333333
2011-01-03 13:42:00,150.55555555555554,660,509.44444444444446
2011-01-03 17:54:00,114.44444444444446,624,509.55555555555554
2011-01-04 03:46:00,100.77777777777777,573,472.22222222222223
2011-01-04 11:37:00,106.66666666666663,622,515.3333333333334
2011-01-04 17:34:00,104.11111111111109,432,536.1111111111111
2011-01-04 23:51:00,353.1111111111111,859,505.8888888888889
2011-01-05 00:42:00,267.0,736,469.0
2011-01-05 00:43:00,190.0,663,473.0
2011-01-05 00:44:00,100.66666666666669,601,500.3333333333333
2011-01-05 00:51:00,103.55555555555554,494,597.5555555555555
2011-01-05 00:53:00,134.22222222222217,445,579.2222222222222
2011-01-05 07:50:00,112.44444444444446,599,486.55555555555554
2011-01-05 12:40:00,100.77777777777783,476,576.7777777777778
2011-01-05 16:04:00,122.33333333333337,637,514.6666666666666
2011-01-05 18:21:00,681.8888888888889,1211,529.1111111111111
2011-01-05 18:23:00,108.44444444444446,490,598.4444444444445
2011-01-05 18:24:00,108.66666666666663,489,597.6666666666666
2011-01-05 19:13:00,126.77777777777783,642,515.2222222222222
2011-01-05 19:14:00,109.55555555555554,621,511.44444444444446
2011-01-05 19:18:00,107.66666666666663,425,532.6666666666666
2011-01-05 19:20:00,106.77777777777783,626,519.2222222222222
2011-01-05 20:12:00,135.55555555555554,690,554.4444444444445
2011-01-05 20:35:00,323.33333333333337,843,519.6666666666666
2011-01-05 20:36:00,105.22222222222217,632,526.7777777777778
2011-01-05 20:40:00,105.88888888888891,689,583.1111111111111
2011-01-05 20:44:00,138.0,511,649.0
2011-01-05 20:45:00,106.77777777777783,541,647.7777777777778
2011-01-05 20:47:00,105.77777777777783,495,600.7777777777778
2011-01-05 22:03:00,110.55555555555554,599,488.44444444444446
2011-01-06 04:02:00,224.55555555555554,701,476.44444444444446
2011-01-06 04:03:00,157.8888888888889,639,481.1111111111111
2011-01-06 04:12:00,126.77777777777783,394,520.7777777777778
2011-01-06 04:22:00,114.22222222222223,570,455.77777777777777
2011-01-06 04:59:00,734.3333333333333,1218,483.6666666666667
2011-01-06 05:02:00,138.33333333333337,433,571.3333333333334
2011-01-06 05:05:00,124.44444444444446,455,579.4444444444445
2011-01-06 05:06:00,144.66666666666663,437,581.6666666666666
2011-01-06 05:35:00,113.44444444444446,426,539.4444444444445
2011-01-06 05:41:00,555.6666666666667,1051,495.3333333333333
2011-01-06 05:43:00,126.11111111111109,426,552.1111111111111
2011-01-06 05:47:00,105.22222222222217,444,549.2222222222222
2011-01-06 08:15:00,104.66666666666669,580,475.3333333333333
2011-01-06 10:59:00,519.3333333333334,1034,514.6666666666666
2011-01-06 11:07:00,148.66666666666663,436,584.6666666666666
2011-01-06 11:26:00,440.44444444444446,948,507.55555555555554
2011-01-06 11:42:00,109.0,625,516.0
2011-01-06 13:23:00,318.7777777777778,882,563.2222222222222
2011-01-06 15:06:00,110.0,616,506.0
2011-01-06 15:30:00,118.88888888888891,661,542.1111111111111
2011-01-06 15:37:00,151.77777777777783,721,569.2222222222222
2011-01-06 16:13:00,133.77777777777777,629,495.22222222222223
2011-01-06 23:06:00,100.55555555555554,401,501.55555555555554
2011-01-06 23:35:00,124.77777777777777,604,479.22222222222223
2011-01-07 03:25:00,157.66666666666669,608,450.3333333333333
2011-01-07 08:57:00,145.1111111111111,661,515.8888888888889
2011-01-07 09:40:00,314.55555555555554,811,496.44444444444446
2011-01-07 10:28:00,400.0,919,519.0
2011-01-07 10:29:00,300.8888888888889,819,518.1111111111111
2011-01-07 10:31:00,103.66666666666663,490,593.6666666666666
2011-01-07 10:38:00,111.88888888888891,497,608.8888888888889
2011-01-07 11:44:00,102.22222222222217,424,526.2222222222222
2011-01-07 12:31:00,181.22222222222223,684,502.77777777777777
2011-01-07 13:23:00,152.77777777777777,645,492.22222222222223
2011-01-07 13:44:00,105.77777777777783,625,519.2222222222222
2011-01-07 14:16:00,140.0,655,515.0
2011-01-07 17:25:00,123.0,612,489.0
2011-01-07 21:00:00,140.55555555555554,625,484.44444444444446
2011-01-07 22:59:00,208.44444444444446,289,497.44444444444446
2011-01-07 23:00:00,286.44444444444446,202,488.44444444444446
2011-01-07 23:01:00,286.77777777777777,177,463.77777777777777
2011-01-07 23:02:00,201.66666666666669,228,429.6666666666667
2011-01-07 23:03:00,166.77777777777777,231,397.77777777777777
2011-01-07 23:04:00,134.1111111111111,238,372.1111111111111
2011-01-07 23:05:00,134.1111111111111,205,339.1111111111111
2011-01-08 07:26:00,479.22222222222223,704,224.77777777777777
2011-01-08 09:14:00,111.11111111111111,322,210.88888888888889
2011-01-08 09:34:00,172.77777777777777,386,213.22222222222223
2011-01-08 14:29:00,122.88888888888889,331,208.11111111111111
2011-01-08 22:59:00,284.55555555555554,494,209.44444444444446
2011-01-08 23:00:00,295.8888888888889,510,214.11111111111111
2011-01-08 23:01:00,236.33333333333334,484,247.66666666666666
2011-01-08 23:02:00,284.3333333333333,568,283.6666666666667
2011-01-08 23:03:00,202.33333333333331,516,313.6666666666667
2011-01-08 23:04:00,175.8888888888889,529,353.1111111111111
