Time, Change, Value, Mean of the last 10 minutes
2011-01-03 23:04:00,24086.444444444445,62106,38019.555555555555
2011-01-03 23:05:00,32222.666666666664,70216,37993.333333333336
2011-01-03 23:06:00,29835.666666666664,70488,40652.333333333336
2011-01-03 23:07:00,24980.666666666664,69236,44255.333333333336
2011-01-03 23:08:00,19668.77777777778,67529,47860.22222222222
2011-01-03 23:09:00,17174.88888888889,68505,51330.11111111111
2011-01-03 23:10:00,14946.666666666664,69538,54591.333333333336
2011-01-03 23:11:00,11665.333333333336,69656,57990.666666666664
2011-01-03 23:14:00,23782.11111111111,44745,68527.11111111111
2011-01-03 23:15:00,32248.444444444438,37063,69311.44444444444
2011-01-03 23:16:00,29875.33333333333,36606,66481.33333333333
2011-01-03 23:17:00,26254.444444444445,36513,62767.444444444445
2011-01-03 23:18:00,22994.88888888889,36147,59141.88888888889
2011-01-03 23:19:00,19301.666666666664,36394,55695.666666666664
2011-01-03 23:20:00,15121.333333333336,36979,52100.333333333336
2011-01-03 23:21:00,12110.666666666664,36307,48417.666666666664
2011-01-05 00:42:00,25733.11111111111,58282,32548.88888888889
2011-01-05 00:43:00,24330.11111111111,57379,33048.88888888889
2011-01-05 00:44:00,20766.22222222222,56626,35859.77777777778
2011-01-05 00:45:00,18852.555555555555,57444,38591.444444444445
2011-01-05 00:46:00,14231.666666666664,55470,41238.333333333336
2011-01-05 00:47:00,13220.0,57196,43976.0
2011-01-05 00:49:00,16813.22222222222,32485,49298.22222222222
2011-01-05 00:50:00,17902.77777777778,32827,50729.77777777778
2011-01-05 00:51:00,18077.666666666664,32680,50757.666666666664
2011-01-05 00:52:00,18113.22222222222,32191,50304.22222222222
2011-01-05 00:53:00,15027.555555555555,32432,47459.555555555555
2011-01-05 00:54:00,12562.88888888889,32098,44660.88888888889
2011-01-05 20:34:00,17257.11111111111,58369,41111.88888888889
2011-01-05 20:35:00,20138.0,61154,41016.0
2011-01-05 20:36:00,18193.555555555555,61108,42914.444444444445
2011-01-05 20:37:00,16399.11111111111,61504,45104.88888888889
2011-01-05 20:38:00,14507.444444444445,61807,47299.555555555555
2011-01-05 20:39:00,11796.0,61375,49579.0
2011-01-05 20:44:00,18834.77777777778,42369,61203.77777777778
2011-01-05 20:45:00,19922.11111111111,41639,61561.11111111111
2011-01-05 20:46:00,17725.88888888889,41748,59473.88888888889
2011-01-05 20:47:00,15893.666666666664,41417,57310.666666666664
2011-01-05 20:48:00,13222.555555555555,41893,55115.555555555555
2011-01-05 20:49:00,11367.0,41483,52850.0
2011-01-05 23:32:00,32874.333333333336,67295,34420.666666666664
2011-01-07 22:59:00,11757.88888888889,24062,35819.88888888889
2011-01-07 23:00:00,15338.444444444445,19992,35330.444444444445
2011-01-07 23:01:00,13827.11111111111,20199,34026.11111111111
2011-01-07 23:02:00,12235.0,20069,32304.0
2011-01-07 23:03:00,10433.555555555555,20141,30574.555555555555
2011-01-08 22:59:00,14479.555555555555,35805,21325.444444444445
2011-01-08 23:00:00,15448.777777777777,37322,21873.222222222223
2011-01-08 23:01:00,13845.11111111111,37342,23496.88888888889
2011-01-08 23:02:00,12648.777777777777,37935,25286.222222222223
2011-01-08 23:03:00,10791.0,37862,27071.0
2011-01-09 22:59:00,15231.444444444445,24692,39923.444444444445
2011-01-09 23:00:00,17889.333333333336,21789,39678.333333333336
2011-01-09 23:01:00,16012.0,21971,37983.0
2011-01-09 23:02:00,13912.777777777781,22065,35977.77777777778
2011-01-09 23:03:00,11964.777777777781,22043,34007.77777777778
2011-01-09 23:04:00,10131.88888888889,21879,32010.88888888889
