version,number
1.3.33-Front-070729.1,102
4.3-3810,101
1.3.19,100
1.1.3-6447,99
4.3-3776,90
4.0-2265,89
4.1-2668,86
1.3.14,77
2.0.45,77
2.2.17-CAv5,71
1.1.5-6542,68
2.2.1,64
4.2-3255,64
5.0-4458,59
4.0-2228,58
2.2.26-31,48
5.0-4482,46
1.3.6,45
1.3.35,44
2.x.x,39
5.1-5004,39
4.2-3202,38
1.0.2-6022,37
2.5.1-dev,34
2.2.35,33
1.3.42p2,32
3.2-1983,32
2.3.0-lt,31
3.2-1955,28
4.1-2661,28
1.3.17,25
2.0.44,25
1.2.4,22
1.3.0,21
1.3.37p5,20
4.2-3252,20
h-1,20
2.4.26-dev,19
1.0.1-6007,18
1.3.3,18
4.1-2647,18
1.1.2-6425,17
1.2.2,17
3.0-1354,16
5.5.5,16
Varnish,16
1.2.2-7915,15
3.0-1372,15
1.3.32,14
2.0.39,14
2.4.54.1,14
4.0-2219,14
1.2.6k,13
2.4.71,13
2.5.50,13
4.0-2198,13
4.0-2233,13
7.1.1-42962,13
X,13
2.4.48a,12
2.4.74,12
Unix,12
3.2-1922,11
4.1-2636,11
1.3b42cb,10
2.0.52-CHS-1,10
2.0.59-CHS-1,10
2.4.14,10
3.1-1748,10
4.2-3248,10
5.1-5021,10
6.2.4-25556,10
1.3.42p4,9
1.1-6338,8
1.3.11,8
2.2.x,8
2.4.56.1,8
1.3.33-Front-070114.1,7
2.4.57-dev,7
3.1-1613,7
3.1-1637,7
TTservers,7
iphoneXMax,7
1.0-5781,6
2-P-4,6
2.1.3,6
2.1.4,6
2.1.43,6
2.1.9,6
2.4.42,6
3.1-1636,6
3.1-1638,6
4.1-2657,6
1.3.37.sa,5
1.6.0,5
1.9.1,5
2.4.10.0,5
2.4.22,5
3.0-1337,5
3.1-1594,5
3.2-1944,5
3.4.50,5
4.2-3247,5
HttpComponents1.1,5
1.0.8168.24261.id,4
1.3.37p4,4
1.3.9-suua991111,4
2.2.31.0,4
2.4.30,4
2.4.48.1,4
2.4.52.1,4
2.4.59,4
2.5.0,4
2.6.0,4
2.x,4
3.0-1342,4
3.1-1742,4
4.2-3243,4
4.2-3250,4
4.2-3254,4
6.2.3-25426,4
1.0.3-6030,3
1.2.6k.p5,3
1.3.4,3
1.3.42-IPv6,3
1.3b5,3
2.0.42,3
2.18,3
2.2.35-dev,3
2.4.0,3
2.4.11,3
2.4.53.1,3
2.4.6-80,3
2.5.9,3
4.0-2243,3
Linux,3
0.4.1,2
1.0.3,2
1.0.7725.19296.id,2
1.0.8109.25951.id,2
1.12.0,2
1.2.1,2
1.2.5,2
1.3,2
1.3.33-Pool-070114.1,2
1.3.37p3,2
1.3.42p3,2
1.33.7,2
1.5.3,2
13.37,2
2.0.36,2
2.0.63FTF,2
2.0.x,2
2.2.159,2
2.2.31-3.0.2.0,2
2.2.xx,2
2.3.12,2
2.3.16,2
2.3.29,2
2.3.6,2
2.4.10-dev,2
2.4.13-dev,2
2.4.19,2
2.4.21,2
2.4.36,2
2.4.39.1,2
2.4.45,2
2.4.5,2
2.4.55.1,2
2.4.99,2
3.0.0,2
3.14,2
3.2-1979,2
3.2-1981,2
4.0-2197,2
4.2-3214,2
4.2-3246,2
4.2-3251,2
7.0.1-42218,2
7.0.41,2
8.8.88,2
9.9.99,2
